Generation,ColoringCost,Iterations
1,0.005587,32605
2,0.006452,57013
3,0.006993,81454
4,0.007407,105899
5,0.007634,130333
6,0.008403,154745
7,0.008850,179179
8,0.008850,203621
9,0.009901,228046
10,0.010753,252484
11,0.013333,276932
12,0.014085,301342
13,0.016393,325781
14,0.016393,350214
15,0.016949,374643
16,0.020408,399073
17,0.025641,423513
18,0.028571,447922
19,0.032258,472341
20,0.040000,496763
21,0.047619,521218
22,0.058824,545639
23,0.058824,570044
24,0.058824,594440
25,0.066667,618865
26,0.076923,643296
27,0.076923,667717
28,0.090909,692149
29,0.090909,716558
30,0.111111,740955
31,0.142857,765363
32,0.250000,789781
